model,theta,chi2,posterior_weight
LCDM,0.30869961983273564,2111.573630891797,0.0002960883334908524
LCDM,0.3088639693200832,2111.5264544426004,0.00030315555552951344
LCDM,0.30902831880743065,2111.4795006089103,0.00031035691540246343
LCDM,0.3091926682947782,2111.4327692823063,0.00031769399464674807
LCDM,0.30935701778212565,2111.386260354477,0.0003251683676260863
LCDM,0.3095213672694732,2111.3399737171485,0.00033278160070794436
LCDM,0.30968571675682066,2111.293909262136,0.0003405352514065195
LCDM,0.3098500662441682,2111.2480668812896,0.0003484308675292969
LCDM,0.3100144157315157,2111.2024464665524,0.0003564699862907707
LCDM,0.31017876521886323,2111.1570479099296,0.00036465413342730524
LCDM,0.31034311470621073,2111.1118711034796,0.00037298482229538714
LCDM,0.31050746419355824,2111.066915939354,0.0003814635529476783
LCDM,0.31067181368090574,2111.0221823097277,0.0003900918112168386
LCDM,0.31083616316825324,2110.9776701068845,0.0003988710677572637
LCDM,0.31100051265560075,2110.9333792231455,0.0004078027771052525
LCDM,0.31116486214294825,2110.889309550929,0.0004168883767013258
LCDM,0.31132921163029575,2110.8454609826717,0.0004261292859291567
LCDM,0.31149356111764326,2110.801833410923,0.0004355269051085399
LCDM,0.31165791060499076,2110.758426728272,0.00044508261451140673
LCDM,0.31182226009233827,2110.7152408273746,0.0004547977733478447
LCDM,0.31198660957968577,2110.6722756009726,0.0004646737187431314
LCDM,0.3121509590670333,2110.629530941853,0.00047471176471893206
LCDM,0.3123153085543808,2110.5870067428605,0.00048491320115408293
LCDM,0.3124796580417283,2110.5447028969315,0.0004952792927317045
LCDM,0.3126440075290758,2110.5026192970595,0.0005058112778942346
LCDM,0.3128083570164233,2110.4607558362914,0.0005165103677844268
LCDM,0.3129727065037708,2110.4191124077565,0.0005273777451711584
LCDM,0.3131370559911183,2110.3776889046317,0.0005384145633851854
LCDM,0.3133014054784658,2110.3364852201703,0.0005496219452326067
LCDM,0.3134657549658133,2110.2955012476914,0.0005610009819136969
LCDM,0.3136301044531608,2110.254736880585,0.0005725527319327641
LCDM,0.3137944539405083,2110.2141920122813,0.0005842782200143796
LCDM,0.3139588034278558,2110.173866536306,0.0005961784359920235
LCDM,0.3141231529152033,2110.1337603462252,0.0006082543337251587
LCDM,0.3142875024025508,2110.0938733356884,0.0006205068299864502
LCDM,0.3144518518898983,2110.054205398402,0.0006329368033673797
LCDM,0.31461620137724583,2110.014756428133,0.0006455450931747045
LCDM,0.31478055086459333,2109.9755263187276,0.0006583324983221303
LCDM,0.31494490035194084,2109.936514964083,0.0006712997762372466
LCDM,0.31510924983928834,2109.8977222581643,0.0006844476417555246
LCDM,0.31527359932663584,2109.859148095009,0.0006977767660203603
LCDM,0.31543794881398335,2109.820792368704,0.0007112877753953406
LCDM,0.31560229830133085,2109.782654973417,0.0007249812503617431
LCDM,0.31576664778867836,2109.744735803366,0.0007388577244408128
